Price,iPhone,iPad,Dropbox,iCloud,WebDAV,iTunes,Proprietary,Plain text,Copy HTML,Email,HTML Email,PDF,Print,Open in…,TextExpander,Markdown preview/export,Markdown editing,Appearance options,Syntax Highlighting,Extra Keyboard row,In-document text search,Search and replace,Full-text file search,Word count,Char count,Page count,Reading time,URL handlers,Web Browser
Textkraft,$3.99,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes
Trunk Notes,$3.99,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,?,Yes,No,No,No,No,?,No
Verses notebook,$1.99,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Vim,Free,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Werdsmith,Free/2.99,Yes,Yes,No,Yes,No,$$,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,$$,No,No,Yes,No,No
Write 2,Free/2.99,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,?,Yes,No,No,No,No,No,?
WriteRoom,$4.99,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No
WriteUp,$2.99,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,?,Yes,Yes,Yes,No,Yes,No,?
Writing,$1.99,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No
Writing Kit,$4.99,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,?,No,Yes,Yes,No,No,Yes,Yes
Writings,$4.99,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,?,No,Yes,Yes,No,No,?,No
WWrite,$1.99,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
WWriteFree,Free,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
